epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95862,0.84551,0.98489,0.93398,0.86138,0.46667,0.5727,0.36637,nan,nan,nan,0.00066129,0.00066129,0.00066129
2,19.669,1.04041,1.56233,1.02227,0.62566,0.4,0.446,0.21374,nan,nan,nan,0.00130166,0.00130166,0.00130166
3,29.2333,1.12065,1.48906,1.062,0.86148,0.46667,0.53405,0.32412,nan,nan,nan,0.00191564,0.00191564,0.00191564
4,40.5261,1.16656,1.36545,1.09192,0.08582,0.06667,0.02867,0.01526,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,50.1486,1.30572,1.55781,1.19587,0.39518,0.26667,0.24733,0.14001,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,59.673,1.16371,1.31152,1.13261,0.81482,0.58767,0.64927,0.32187,nan,nan,nan,0.001802,0.001802,0.001802
7,69.1902,1.22033,1.48261,1.13896,0.43361,0.46667,0.36465,0.20007,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,79.046,1.21229,1.33603,1.12995,0.80011,0.46667,0.57733,0.37109,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,88.896,1.18347,1.26904,1.09717,0.47608,0.6,0.51783,0.29042,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,98.4092,1.1801,1.39896,1.12153,0.9452,0.4,0.56548,0.3003,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,107.949,1.03689,1.26044,1.05321,0.72574,0.46667,0.56892,0.33992,nan,nan,nan,0.001604,0.001604,0.001604
12,118.888,1.0474,1.17791,1.05705,0.77762,0.46667,0.60066,0.31923,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,128.437,1.12589,1.00048,1.11337,0.67306,0.73333,0.70927,0.41988,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,138.173,1.07469,1.0732,1.11525,0.83179,0.4,0.46318,0.27768,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,148.941,1.02104,1.11482,1.03243,0.86705,0.46667,0.669,0.33552,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,158.575,0.98748,0.91287,0.99476,0.87187,0.53333,0.62942,0.39558,nan,nan,nan,0.001406,0.001406,0.001406
17,168.057,0.99476,1.06538,1.0108,0.96932,0.53333,0.54611,0.34907,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,177.676,0.97083,1.07302,1.01289,0.87225,0.53333,0.62136,0.39969,nan,nan,nan,0.0013268,0.0013268,0.0013268
19,187.009,0.85447,0.8529,0.90118,0.79879,0.6,0.70002,0.49348,nan,nan,nan,0.0012872,0.0012872,0.0012872
20,196.656,0.97954,1.00933,1.00391,0.95306,0.46667,0.62948,0.42145,nan,nan,nan,0.0012476,0.0012476,0.0012476
21,207.846,0.96995,0.9324,0.97905,0.9209,0.6,0.77561,0.51724,nan,nan,nan,0.001208,0.001208,0.001208
22,217.561,1.02054,0.87799,1.00065,1,0.4602,0.61796,0.42854,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,227.135,0.86936,0.80661,0.96137,0.97776,0.66667,0.7603,0.45988,nan,nan,nan,0.0011288,0.0011288,0.0011288
