epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37813,1.23639,1.22838,1.14843,0.74943,0.63636,0.62246,0.42075,nan,nan,nan,0.00028,0.00028,0.00028
2,4.72369,1.10051,1.23042,2.32789,0.02973,0.27273,0.02162,0.0132,nan,nan,nan,0.000568516,0.000568516,0.000568516
3,6.99033,1.05712,1.09445,1.30991,0.02506,0.27273,0.01165,0.0064,nan,nan,nan,0.000845152,0.000845152,0.000845152
4,9.27244,1.17657,1.23552,1.42753,0.05621,0.18182,0.02134,0.01433,nan,nan,nan,0.00110991,0.00110991,0.00110991
5,11.5399,1.07539,0.98621,1.06882,0.00031,0.09091,0.00017,3e-05,nan,nan,nan,0.00136278,0.00136278,0.00136278
6,13.7987,1.17447,1.11051,1.13694,0.01251,0.18182,0.00373,0.00125,nan,nan,nan,0.00160378,0.00160378,0.00160378
7,16.6944,1.26731,1.15775,1.19412,0.8045,0.09091,0.1058,0.03997,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,19.0296,1.06527,0.98658,1.06734,0.00204,0.36364,0.00117,0.00071,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,21.3145,1.03946,0.90966,1.04265,0.84178,0.27273,0.28502,0.14327,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,23.6089,1.07401,0.94769,1.06612,0.6607,0.3555,0.40105,0.26338,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,25.9099,1.0586,0.92958,1.0959,0.4835,0.36364,0.38775,0.24528,nan,nan,nan,0.001604,0.001604,0.001604
12,28.1839,1.0193,0.86593,1.05086,0.1267,0.45455,0.1165,0.07262,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,30.4762,0.97791,0.83596,1.01807,0.27021,0.27273,0.22987,0.14963,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,32.7431,0.97902,0.79514,1.01505,0.6717,0.45455,0.4675,0.30327,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,35.0312,0.98195,0.81865,1.07378,0.591,0.45455,0.50923,0.33742,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,37.3176,0.99958,0.90306,1.10206,0.98404,0.54545,0.64067,0.45181,nan,nan,nan,0.001406,0.001406,0.001406
17,39.6601,0.91418,0.77109,1.02352,0.02076,0.54545,0.01518,0.01081,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,41.9497,0.94688,0.77856,1.0686,0.98425,0.63636,0.6429,0.47818,nan,nan,nan,0.0013268,0.0013268,0.0013268
19,44.3146,0.89985,0.76823,1.01007,0.96239,0.72727,0.73122,0.47944,nan,nan,nan,0.0012872,0.0012872,0.0012872
20,46.6742,0.88009,0.64992,0.96626,0.9647,0.72727,0.7279,0.52896,nan,nan,nan,0.0012476,0.0012476,0.0012476
21,49.0602,0.85374,0.62881,0.96758,0.97784,0.63636,0.70056,0.51019,nan,nan,nan,0.001208,0.001208,0.001208
22,51.3569,0.7776,0.60492,0.97215,0.98058,0.63636,0.69615,0.51758,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,53.6448,0.76278,0.6128,0.96691,0.85767,0.63636,0.64443,0.48329,nan,nan,nan,0.0011288,0.0011288,0.0011288
24,55.9302,0.76574,0.59108,0.97133,0.69379,0.63636,0.61866,0.41552,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,58.2056,0.82641,0.63665,0.98554,0.83007,0.54545,0.68889,0.45906,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,60.4892,0.77158,0.60973,0.93714,0.98182,0.45455,0.55972,0.45687,nan,nan,nan,0.00101,0.00101,0.00101
27,62.7765,0.71212,0.55628,0.95187,1,0.53917,0.62755,0.50058,nan,nan,nan,0.0009704,0.0009704,0.0009704
28,65.0571,0.75134,0.65047,0.96258,0.98766,0.63636,0.66349,0.54726,nan,nan,nan,0.0009308,0.0009308,0.0009308
29,67.438,0.69036,0.60094,0.9415,0.98138,0.63636,0.6839,0.5397,nan,nan,nan,0.0008912,0.0008912,0.0008912
30,69.7205,0.76007,0.5428,0.95789,0.98586,0.63636,0.69351,0.56524,nan,nan,nan,0.0008516,0.0008516,0.0008516
31,72.0693,0.67678,0.53413,0.95271,0.98176,0.54545,0.7142,0.55599,nan,nan,nan,0.000812,0.000812,0.000812
32,74.5959,0.66349,0.49228,0.90767,0.98799,0.54545,0.6824,0.59963,nan,nan,nan,0.0007724,0.0007724,0.0007724
33,76.9595,0.64864,0.51402,0.93119,1,0.63339,0.66787,0.55751,nan,nan,nan,0.0007328,0.0007328,0.0007328
34,79.2305,0.67352,0.50428,0.95437,0.98524,0.63636,0.65637,0.52586,nan,nan,nan,0.0006932,0.0006932,0.0006932
35,81.5261,0.66556,0.51601,0.90497,0.9923,0.63636,0.65568,0.51865,nan,nan,nan,0.0006536,0.0006536,0.0006536
36,83.8198,0.71757,0.5604,0.95207,0.98849,0.63636,0.7164,0.55197,nan,nan,nan,0.000614,0.000614,0.000614
37,86.1097,0.69204,0.48702,0.92677,0.97408,0.63636,0.7639,0.56708,nan,nan,nan,0.0005744,0.0005744,0.0005744
38,88.3964,0.62742,0.44794,0.90777,0.97579,0.63636,0.75245,0.54197,nan,nan,nan,0.0005348,0.0005348,0.0005348
39,90.7085,0.62275,0.49528,0.91168,0.98912,0.63636,0.71086,0.5399,nan,nan,nan,0.0004952,0.0004952,0.0004952
40,93.0086,0.61416,0.45189,0.88291,0.99107,0.63636,0.69872,0.50379,nan,nan,nan,0.0004556,0.0004556,0.0004556
41,95.9387,0.57621,0.39471,0.89654,0.99088,0.63636,0.70356,0.49669,nan,nan,nan,0.000416,0.000416,0.000416
42,98.3219,0.5493,0.37476,0.90617,0.98282,0.63636,0.69846,0.49089,nan,nan,nan,0.0003764,0.0003764,0.0003764
43,100.629,0.51698,0.44207,0.86316,0.97422,0.63636,0.69548,0.49682,nan,nan,nan,0.0003368,0.0003368,0.0003368
44,102.917,0.51721,0.37849,0.87786,0.98357,0.63636,0.69627,0.51672,nan,nan,nan,0.0002972,0.0002972,0.0002972
45,105.222,0.52751,0.36903,0.85992,0.9855,0.63636,0.67921,0.53487,nan,nan,nan,0.0002576,0.0002576,0.0002576
46,107.499,0.48658,0.3615,0.86969,0.98487,0.63636,0.68079,0.53635,nan,nan,nan,0.000218,0.000218,0.000218
47,109.798,0.53139,0.38112,0.90563,0.98326,0.63636,0.67921,0.53315,nan,nan,nan,0.0001784,0.0001784,0.0001784
