epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67689,2.40767,9.45831,2.11879,0.00091,0.27273,0.00065,0.00019,1.67675,18.3399,1.58251,0.00014,0.00014,0.00014
2,5.5432,2.11836,4.53453,1.68079,0.40774,0.45455,0.34769,0.17295,2.08396,8.22151,1.55749,0.00029703,0.00029703,0.00029703
3,7.35613,1.61411,2.97907,1.35716,0.05231,0.54545,0.03554,0.01648,1.95006,21.9747,1.52252,0.000450892,0.000450892,0.000450892
4,9.04174,1.31219,1.56607,1.148,0.0347,0.36364,0.01679,0.00751,1.70914,7.04219,1.56716,0.000601586,0.000601586,0.000601586
5,10.7135,1.40969,1.55145,1.18511,0.62653,0.18182,0.20773,0.15354,1.94817,2.45535,1.59198,0.000749112,0.000749112,0.000749112
6,12.3697,1.16302,1.16301,1.10252,0.15853,0.18182,0.0725,0.04278,2.15205,3.52953,2.07951,0.00089347,0.00089347,0.00089347
7,1.39599,1.16861,1.14076,1.11817,0.1725,0.18182,0.15198,0.10619,2.10106,3.03631,1.97284,0.000507924,0.000507924,0.000507924
8,3.50337,1.19901,1.59968,3.96333,0,0,0,0,nan,nan,nan,0.000577034,0.000577034,0.000577034
9,5.21525,1.31284,1.75595,1.26274,0.0003,0.09091,0.00018,2e-05,nan,nan,nan,0.00064456,0.00064456,0.00064456
10,6.89473,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000710502,0.000710502,0.000710502
11,8.56585,nan,nan,nan,0.00057,0.09091,0.00019,0.00016,nan,nan,nan,0.00077486,0.00077486,0.00077486
12,10.2191,nan,nan,nan,0.00101,0.09091,0.00046,0.00028,nan,nan,nan,0.000837634,0.000837634,0.000837634
13,11.8632,nan,nan,nan,0.00121,0.36364,0.00133,0.00039,nan,nan,nan,0.000898824,0.000898824,0.000898824
14,13.4961,nan,nan,nan,0.01144,0.09091,0.00321,0.00173,nan,nan,nan,0.00095843,0.00095843,0.00095843
15,15.1298,nan,nan,nan,0.01089,0.09091,0.00483,0.0028,nan,nan,nan,0.00101645,0.00101645,0.00101645
16,16.7651,nan,nan,nan,0.01547,0.09091,0.00839,0.00543,nan,nan,nan,0.00107289,0.00107289,0.00107289
17,18.4128,nan,nan,nan,0.01893,0.18182,0.00955,0.00622,nan,nan,nan,0.00112774,0.00112774,0.00112774
18,20.0587,nan,nan,nan,0.02326,0.18182,0.01071,0.00718,nan,nan,nan,0.00118101,0.00118101,0.00118101
19,21.6943,nan,nan,nan,0.04418,0.36364,0.02254,0.01503,nan,nan,nan,0.0012327,0.0012327,0.0012327
20,23.3381,nan,nan,nan,0.09616,0.27273,0.06803,0.04986,nan,nan,nan,0.0012828,0.0012828,0.0012828
21,24.9612,nan,nan,nan,0.34913,0.27273,0.21405,0.15995,nan,nan,nan,0.00133132,0.00133132,0.00133132
22,26.6055,nan,nan,nan,0.47978,0.36364,0.28401,0.21053,nan,nan,nan,0.00137825,0.00137825,0.00137825
23,28.382,nan,nan,nan,0.62954,0.36364,0.35458,0.25349,nan,nan,nan,0.0014236,0.0014236,0.0014236
24,30.1657,nan,nan,nan,0.61276,0.43378,0.41445,0.28943,nan,nan,nan,0.00146737,0.00146737,0.00146737
25,32.0727,nan,nan,nan,0.49045,0.45455,0.42798,0.29418,nan,nan,nan,0.00150955,0.00150955,0.00150955
26,34.144,nan,nan,nan,0.45947,0.4644,0.42804,0.28683,nan,nan,nan,0.001505,0.001505,0.001505
27,35.7735,nan,nan,nan,0.4664,0.45455,0.4271,0.27354,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,37.6941,nan,nan,nan,0.52519,0.45455,0.44512,0.27847,nan,nan,nan,0.0014654,0.0014654,0.0014654
